Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,126.599998,128.460007,126.209999,126.739998,126.550392,74403800
2021-06-09,127.209999,127.75,126.519997,127.129997,126.939812,56877900
2021-06-10,127.019997,128.190002,125.940002,126.110001,125.921341,71186400
2021-06-11,126.529999,127.440002,126.099998,127.349998,127.159477,53522400
2021-06-14,127.82,130.539993,127.07,130.479996,130.28479,96906500
2021-06-15,129.940002,130.600006,129.389999,129.639999,129.44606,62746300
2021-06-16,130.369995,130.889999,128.460007,130.149994,129.955292,91815000
2021-06-17,129.800003,132.550003,129.649994,131.789993,131.592834,96721700
2021-06-18,130.710007,131.509995,130.240005,130.460007,130.264832,108953300
2021-06-21,130.300003,132.410004,129.210007,132.300003,132.102081,79663300
2021-06-22,132.130005,134.080002,131.619995,133.979996,133.779556,74783600
2021-06-23,133.770004,134.320007,133.229996,133.699997,133.499985,60214200
2021-06-24,134.449997,134.639999,132.929993,133.410004,133.210419,68711000
2021-06-25,133.460007,133.889999,132.809998,133.110001,132.910873,70783700
2021-06-28,133.410004,135.25,133.350006,134.779999,134.578369,62111300
2021-06-29,134.800003,136.490005,134.350006,136.330002,136.126053,64556100
2021-06-30,136.169998,137.410004,135.869995,136.960007,136.755112,63261400
2021-07-01,136.600006,137.330002,135.759995,137.270004,137.064651,52485800
2021-07-02,137.899994,140,137.75,139.960007,139.750626,78852600
2021-07-06,140.070007,143.149994,140.070007,142.020004,141.807541,108181800
2021-07-07,143.539993,144.889999,142.660004,144.570007,144.353729,104911600
2021-07-08,141.580002,144.059998,140.669998,143.240005,143.025711,105575500
2021-07-09,142.75,145.649994,142.649994,145.110001,144.892914,99890800
2021-07-12,146.210007,146.320007,144,144.5,144.283829,76299700
2021-07-13,144.029999,147.460007,143.630005,145.639999,145.422119,100827100
2021-07-14,148.100006,149.570007,147.679993,149.149994,148.926865,127050800
2021-07-15,149.240005,150,147.089996,148.479996,148.257874,106820300
2021-07-16,148.460007,149.759995,145.880005,146.389999,146.17099,93251400
2021-07-19,143.75,144.070007,141.669998,142.449997,142.236893,121434600
2021-07-20,143.460007,147.100006,142.960007,146.149994,145.931351,96350000
2021-07-21,145.529999,146.130005,144.630005,145.399994,145.18248,74993500
2021-07-22,145.940002,148.199997,145.809998,146.800003,146.580383,77338200
2021-07-23,147.550003,148.720001,146.919998,148.559998,148.337753,71447400
2021-07-26,148.270004,149.830002,147.699997,148.990005,148.76712,72434100
2021-07-27,149.119995,149.210007,145.550003,146.770004,146.55043,104818600
2021-07-28,144.809998,146.970001,142.539993,144.979996,144.763107,118931200
2021-07-29,144.690002,146.550003,144.580002,145.639999,145.422119,56699500
2021-07-30,144.380005,146.330002,144.110001,145.860001,145.641785,70382000
2021-08-02,146.360001,146.949997,145.25,145.520004,145.302307,62880000
2021-08-03,145.809998,148.039993,145.179993,147.360001,147.139542,64786600
2021-08-04,147.270004,147.789993,146.279999,146.949997,146.730164,56368300
2021-08-05,146.979996,147.839996,146.169998,147.059998,146.839996,46397700
2021-08-06,146.350006,147.110001,145.630005,146.139999,146.139999,54067400
2021-08-09,146.199997,146.699997,145.520004,146.089996,146.089996,48853100
